# Расценки СН-2012, сверенные вручную по PDF Сборника 22 (уровень цен 01.07.2026).
# Эталон для самопроверки каталога: если распознанные из PDF значения разошлись
# с этим списком, страница нормативов покажет расхождение — цифры в смете
# считаются по каталогу, поэтому ошибка распознавания стоит денег.
# Формат: шифр;измеритель;ЗП;ЭМ;ЗПМ;МР;затраты труда, чел.-ч (пусто = прочерк)
22-2203-104-4/1;1 шт;167.19;;;50.26;0.24
22-2203-104-11/1;1 шт;181.13;;;66.96;0.26
22-2201-81-1/1;10 шт;25.93;;;0.03;0.04
22-2203-106-1/1;1 шт;111.46;;;0.06;0.16
22-2203-106-2/1;1 шт;153.26;;;;0.22
22-2203-106-3/1;1 шт;306.52;;;5.34;0.44
22-2203-109-1/1;шт;250.79;;;33.44;0.36
22-2203-109-2/1;шт;139.33;;;16.73;0.20
22-2203-117-1/1;1000 м2;463.84;0.44;0.01;;0.48
22-2203-118-1/1;1 шт;404.06;0.72;;0.59;0.58
22-2203-118-2/1;1 шт;515.52;0.72;;0.89;0.74
22-2203-118-3/1;1 шт;69.66;0.09;;0.24;0.10
22-2203-118-4/1;1 шт;139.33;;;0.30;0.20
22-2203-119-1/1;шт;417.99;;;0.44;0.60
22-2203-119-2/1;шт;599.12;;;0.74;0.86
22-2203-143-1/1;шт;162.07;0.11;;70.38;0.25
22-2201-77-1/1;10 шт;1762.51;;;4.19;2.53
22-2203-90-1/1;10 шт;4458.52;;;41.89;6.40
22-2203-92-1/1;10 шт;250.79;;;3.57;0.36
22-2201-80-2/1;10 шт;633.27;;;1.48;0.85
22-2201-93-1/1;10 шт;117.06;;;0.30;0.22
22-2203-74-1/1;10 шт;2062.07;;;35.75;2.96
